web_scraper_order,web_scraper_start_url,autres_animaux,nom,prix,adresse,image
"1771238012-34","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779","","","","https://sn.coinafrique.com/profil/4b66799e-273f-4cf7-97da-e4bb11131300"
"1771238015-35","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","Chèvre Balami","200 000 CFA","Saint Louis, Sénégal","https://sn.coinafrique.com/profil/83827308-62e0-451b-aa11-04e10407d181"
"1771238015-36","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","Chèvre Balami","200 000 CFA","Saint Louis, Sénégal","https://sn.coinafrique.com/profil/83827308-62e0-451b-aa11-04e10407d181"
"1771238015-37","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","Chèvre Balami","200 000 CFA","Saint Louis, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895"
"1771238017-38","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","Verrat de race Large white","200 000 CFA","Sénégal","https://sn.coinafrique.com/profil/e29a0fc0-f220-41ff-bb55-cccd9a2c2001"
"1771238017-39","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","Verrat de race Large white","200 000 CFA","Sénégal","https://sn.coinafrique.com/profil/e29a0fc0-f220-41ff-bb55-cccd9a2c2001"
"1771238017-40","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","Verrat de race Large white","200 000 CFA","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881"
"1771238020-41","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/profil/f490745c-bfc1-45e4-af77-ce6a594d5c30"
"1771238020-42","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/profil/f490745c-bfc1-45e4-af77-ce6a594d5c30"
"1771238020-43","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-et-ufs-de-caille-5514762"
"1771238020-44","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/caille-5001807"
"1771238020-45","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4454743"
"1771238020-46","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-de-chair-4327166"
"1771238020-47","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/caille-3679001"
"1771238020-48","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/poussin-caille-3576048"
"1771238020-49","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-3405018"
